timestamp,gpu_temp,resolution,percentage,actual_fps,gpu_load,cpu_load
1970-01-01 02:40:44.538,56.062,640,0.25,8.33,54.8,10.9
1970-01-01 02:40:45.042,56.0,640,0.25,8.27,0.0,12.2
1970-01-01 02:40:45.548,55.781,640,0.25,8.31,0.0,11.4
1970-01-01 02:40:46.052,56.0,640,0.25,8.31,0.0,11.1
1970-01-01 02:40:46.558,55.937,640,0.25,8.35,93.0,11.2
1970-01-01 02:40:47.061,55.937,640,0.25,8.28,14.6,12.0
1970-01-01 02:40:47.568,56.062,640,0.25,8.35,0.0,10.2
1970-01-01 02:40:48.071,55.843,640,0.25,8.35,0.0,10.0
1970-01-01 02:40:48.578,55.843,640,0.25,8.35,29.3,12.4
1970-01-01 02:40:49.082,55.906,640,0.25,8.35,73.2,9.8
1970-01-01 02:40:49.587,56.031,640,0.25,8.35,30.1,10.8
1970-01-01 02:40:50.091,55.875,640,0.25,8.35,0.0,11.6
1970-01-01 02:40:50.595,55.75,640,0.25,8.35,0.0,11.1
1970-01-01 02:40:51.098,55.906,640,0.25,8.35,12.7,10.5
1970-01-01 02:40:51.604,56.093,640,0.25,8.31,88.3,10.4
1970-01-01 02:40:52.107,55.843,640,0.25,8.35,0.0,9.6
1970-01-01 02:40:52.614,55.718,640,0.25,8.35,0.0,10.0
1970-01-01 02:40:53.117,55.843,640,0.25,8.30,0.0,10.2
1970-01-01 02:40:53.623,56.062,640,0.25,8.35,65.2,11.4
1970-01-01 02:40:54.127,55.875,640,0.25,8.30,60.8,10.9
1970-01-01 02:40:54.633,55.781,640,0.25,8.33,0.0,11.5
1970-01-01 02:40:55.137,55.625,640,0.25,8.35,0.0,10.9
1970-01-01 02:40:55.643,55.656,640,0.25,8.35,0.0,11.6
1970-01-01 02:40:56.148,55.75,640,0.25,8.35,90.2,10.2
1970-01-01 02:40:56.654,55.968,640,0.25,8.32,10.2,10.4
1970-01-01 02:40:57.157,55.781,640,0.25,8.35,0.0,9.5
1970-01-01 02:40:57.664,55.593,640,0.25,8.35,0.0,9.9
1970-01-01 02:40:58.167,55.718,640,0.25,8.35,37.4,10.4
1970-01-01 02:40:58.674,55.781,640,0.25,8.35,69.8,10.9
1970-01-01 02:40:59.178,55.687,640,0.25,8.35,13.5,9.3
1970-01-01 02:40:59.684,55.843,640,0.25,8.35,0.0,10.6
1970-01-01 02:41:00.188,55.625,640,0.25,8.35,0.0,11.1
1970-01-01 02:41:00.695,55.968,640,0.25,8.35,25.3,11.3
1970-01-01 02:41:01.198,55.625,640,0.25,8.35,74.8,9.8
1970-01-01 02:41:01.705,55.656,640,0.25,8.35,0.0,9.9
1970-01-01 02:41:02.208,56.0,640,0.25,8.35,0.0,8.4
1970-01-01 02:41:02.715,55.781,640,0.25,8.35,0.0,10.2
1970-01-01 02:41:03.219,55.812,640,0.25,8.35,82.6,11.4
1970-01-01 02:41:03.725,55.656,640,0.25,8.26,22.5,10.4
1970-01-01 02:41:04.228,56.062,640,0.25,8.36,0.0,10.9
1970-01-01 02:41:04.735,55.562,640,0.25,8.32,0.0,10.3
1970-01-01 02:41:05.239,55.625,640,0.25,8.35,7.2,11.1
1970-01-01 02:41:05.745,55.875,640,0.25,8.30,83.4,10.7
1970-01-01 02:41:06.249,55.625,640,0.25,8.35,0.0,10.5
1970-01-01 02:41:06.755,55.5,640,0.25,8.35,0.0,10.3
1970-01-01 02:41:07.258,55.906,640,0.25,8.31,0.0,9.8
1970-01-01 02:41:07.765,55.843,640,0.25,8.35,42.6,11.5
1970-01-01 02:41:08.269,55.656,640,0.25,8.26,69.6,10.0
1970-01-01 02:41:08.775,55.718,640,0.25,8.35,17.2,9.2
1970-01-01 02:41:09.279,55.531,640,0.25,8.35,0.0,9.7
1970-01-01 02:41:09.785,55.437,640,0.25,8.33,0.0,10.6
1970-01-01 02:41:10.289,55.968,640,0.25,8.35,88.3,11.9
1970-01-01 02:41:10.795,55.718,640,0.25,8.35,87.9,11.6
1970-01-01 02:41:11.299,55.531,640,0.25,8.35,0.0,9.8
1970-01-01 02:41:11.805,55.343,640,0.25,8.35,0.0,9.7
1970-01-01 02:41:12.309,55.75,640,0.25,8.32,8.5,9.8
1970-01-01 02:41:12.815,55.656,640,0.25,8.31,60.3,12.0
1970-01-01 02:41:13.318,55.937,640,0.25,8.35,55.3,10.7
1970-01-01 02:41:13.824,55.562,640,0.25,8.35,0.0,11.3
1970-01-01 02:41:14.328,55.531,640,0.25,8.32,0.0,11.1
1970-01-01 02:41:14.835,55.468,640,0.25,8.35,0.0,12.6
1970-01-01 02:41:15.339,55.968,640,0.25,8.35,91.5,11.2
1970-01-01 02:41:15.845,55.468,640,0.25,8.35,9.0,10.5
1970-01-01 02:41:16.349,55.375,640,0.25,8.31,0.0,9.3
1970-01-01 02:41:16.855,55.562,640,0.25,8.35,0.0,8.8
1970-01-01 02:41:17.358,55.437,640,0.25,8.35,25.5,11.0
1970-01-01 02:41:17.865,55.5,640,0.25,8.31,75.8,10.0
1970-01-01 02:41:18.369,55.781,640,0.25,8.35,27.0,9.7
1970-01-01 02:41:18.875,55.5,640,0.25,8.35,0.0,9.9
